Product,Name,Price,Rating,Comment Heading,Comment
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",Chirag Gupta,15599.0,1,Don't waste your money,Very poor phone on flipkart and at very high cost
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",Prajwal  Gunagi,15599.0,1,Utterly Disappointed,Don't waste your money.  My phone📞 speakers is not working
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",Flipkart Customer,15599.0,1,Not recommended at all,Poor systems
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",Arjun Mudaliyar,15599.0,1,Unsatisfactory,Adapter not working
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",Chandru Vasanth,15599.0,1,Waste of money!,I am not happy
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",Flipkart Customer,15599.0,1,Utterly Disappointed,Phone is having hang issue.Camera is average and battery charging time is too much.Please take on your own risk
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",Prashant Singh,15599.0,1,Did not meet expectations,Very bad phone
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",Mani Challa,15599.0,1,Hated it!,Some apps are not installed.. Some apps are not working when u are trying to login it shows error.. Camera is average.. Every time it asks update between 1-2 hours.. Totally waste of money.. Vivo phone is better than red MI note 9 pri
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",Flipkart Customer,15599.0,1,Useless product,Worst mobile am not satisfied
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",keshav jha,15599.0,1,Did not meet expectations,Call drop problem has been increased
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",Venkidesh Prakash,15599.0,5,Terrific,Its the best phone from redmi...  The Snapdragon 720G is a really nice processor.. this phone is better than as compared to redmi note 8 pro.. 🤩🤩🤩🤩Nice displayAwesome processorSuperb cameraTotally Value for money...
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",Flipkart Customer,15599.0,5,Perfect product!,Amazing mobile phone i liked it very much.... It has a good quality camera... And the performance is awsome... Worth it....
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",Flipkart Customer,15599.0,5,Must buy!,"It is really an awesome phone. Excellent camera clarity, super fast charing."
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",Divyanshu Singh,15599.0,5,Great product,Must buyy...Awesome phone love it...
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",Supriya Bharti,15599.0,5,Simply awesome,#Wow
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",Hanif  Shaikh ,15599.0,5,Super!,Awesome Camara
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",pidamarthi gopi ,15599.0,5,Brilliant,Super
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",anjali singh,15599.0,5,Super!,Awesome phone
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",Rajesh Raj,15599.0,5,Must buy!,Thnxxxx flipkart....
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",Novojit Sil,15599.0,5,Great product,Terrific Purchase....Super Performance Super DisplayMassive BatterySuper CameraSuper StylingSuper Big Screen
"Redmi Note 9 Pro (Interstellar Black, 64 GB)",Chirag Gupta,14099.0,1,Don't waste your money,Very poor phone on flipkart and at very high cost
"Redmi Note 9 Pro (Interstellar Black, 64 GB)",Prajwal  Gunagi,14099.0,1,Utterly Disappointed,Don't waste your money.  My phone📞 speakers is not working
"Redmi Note 9 Pro (Interstellar Black, 64 GB)",Flipkart Customer,14099.0,1,Not recommended at all,Poor systems
"Redmi Note 9 Pro (Interstellar Black, 64 GB)",Arjun Mudaliyar,14099.0,1,Unsatisfactory,Adapter not working
"Redmi Note 9 Pro (Interstellar Black, 64 GB)",Chandru Vasanth,14099.0,1,Waste of money!,I am not happy
"Redmi Note 9 Pro (Interstellar Black, 64 GB)",Flipkart Customer,14099.0,1,Utterly Disappointed,Phone is having hang issue.Camera is average and battery charging time is too much.Please take on your own risk
"Redmi Note 9 Pro (Interstellar Black, 64 GB)",Prashant Singh,14099.0,1,Did not meet expectations,Very bad phone
"Redmi Note 9 Pro (Interstellar Black, 64 GB)",Mani Challa,14099.0,1,Hated it!,Some apps are not installed.. Some apps are not working when u are trying to login it shows error.. Camera is average.. Every time it asks update between 1-2 hours.. Totally waste of money.. Vivo phone is better than red MI note 9 pri
"Redmi Note 9 Pro (Interstellar Black, 64 GB)",Flipkart Customer,14099.0,1,Useless product,Worst mobile am not satisfied
"Redmi Note 9 Pro (Interstellar Black, 64 GB)",keshav jha,14099.0,1,Did not meet expectations,Call drop problem has been increased
"Redmi Note 9 Pro (Interstellar Black, 64 GB)",Venkidesh Prakash,14099.0,5,Terrific,Its the best phone from redmi...  The Snapdragon 720G is a really nice processor.. this phone is better than as compared to redmi note 8 pro.. 🤩🤩🤩🤩Nice displayAwesome processorSuperb cameraTotally Value for money...
"Redmi Note 9 Pro (Interstellar Black, 64 GB)",Flipkart Customer,14099.0,5,Perfect product!,Amazing mobile phone i liked it very much.... It has a good quality camera... And the performance is awsome... Worth it....
"Redmi Note 9 Pro (Interstellar Black, 64 GB)",Flipkart Customer,14099.0,5,Must buy!,"It is really an awesome phone. Excellent camera clarity, super fast charing."
"Redmi Note 9 Pro (Interstellar Black, 64 GB)",Divyanshu Singh,14099.0,5,Great product,Must buyy...Awesome phone love it...
"Redmi Note 9 Pro (Interstellar Black, 64 GB)",Supriya Bharti,14099.0,5,Simply awesome,#Wow
"Redmi Note 9 Pro (Interstellar Black, 64 GB)",Hanif  Shaikh ,14099.0,5,Super!,Awesome Camara
"Redmi Note 9 Pro (Interstellar Black, 64 GB)",pidamarthi gopi ,14099.0,5,Brilliant,Super
"Redmi Note 9 Pro (Interstellar Black, 64 GB)",anjali singh,14099.0,5,Super!,Awesome phone
"Redmi Note 9 Pro (Interstellar Black, 64 GB)",Rajesh Raj,14099.0,5,Must buy!,Thnxxxx flipkart....
"Redmi Note 9 Pro (Interstellar Black, 64 GB)",Novojit Sil,14099.0,5,Great product,Terrific Purchase....Super Performance Super DisplayMassive BatterySuper CameraSuper StylingSuper Big Screen
"Redmi Note 9 Pro (Champagne Gold, 128 GB)",Chirag Gupta,15989.0,1,Don't waste your money,Very poor phone on flipkart and at very high cost
"Redmi Note 9 Pro (Champagne Gold, 128 GB)",Prajwal  Gunagi,15989.0,1,Utterly Disappointed,Don't waste your money.  My phone📞 speakers is not working
"Redmi Note 9 Pro (Champagne Gold, 128 GB)",Flipkart Customer,15989.0,1,Not recommended at all,Poor systems
"Redmi Note 9 Pro (Champagne Gold, 128 GB)",Arjun Mudaliyar,15989.0,1,Unsatisfactory,Adapter not working
"Redmi Note 9 Pro (Champagne Gold, 128 GB)",Chandru Vasanth,15989.0,1,Waste of money!,I am not happy
"Redmi Note 9 Pro (Champagne Gold, 128 GB)",Flipkart Customer,15989.0,1,Utterly Disappointed,Phone is having hang issue.Camera is average and battery charging time is too much.Please take on your own risk
"Redmi Note 9 Pro (Champagne Gold, 128 GB)",Prashant Singh,15989.0,1,Did not meet expectations,Very bad phone
"Redmi Note 9 Pro (Champagne Gold, 128 GB)",Mani Challa,15989.0,1,Hated it!,Some apps are not installed.. Some apps are not working when u are trying to login it shows error.. Camera is average.. Every time it asks update between 1-2 hours.. Totally waste of money.. Vivo phone is better than red MI note 9 pri
"Redmi Note 9 Pro (Champagne Gold, 128 GB)",Flipkart Customer,15989.0,1,Useless product,Worst mobile am not satisfied
"Redmi Note 9 Pro (Champagne Gold, 128 GB)",keshav jha,15989.0,1,Did not meet expectations,Call drop problem has been increased
"Redmi Note 9 Pro (Champagne Gold, 128 GB)",Venkidesh Prakash,15989.0,5,Terrific,Its the best phone from redmi...  The Snapdragon 720G is a really nice processor.. this phone is better than as compared to redmi note 8 pro.. 🤩🤩🤩🤩Nice displayAwesome processorSuperb cameraTotally Value for money...
